"VD.tip.um" "VD.base.um" "unit.leaf.leng" "stem.length.m"
".min" 3.63 9.38 0 0.07
".max" 130.37 303.71 315 55
".mean" 18.0568552412646 61.5920299500832 13.1310919966722 6.48086522462562
".median" 14.86 50.91 8.25 4.07
".sd" 11.063157216365 44.6377656908635 27.8667033615221 7.68444571304953
".var" 122.39344759401 1992.53012587243 776.553156239069 59.0507059168053
