,order,family,genus,species.epithet,stem.length.m,VD.base.um,VD.tip.um,min.length.leaf,max.length.leaf,min.length.petiole,max.length.petiole,min.length.blade,max.length.blade,leaf.type,length.leaf.cm,species,long.hoja,long.hoja.mean,long.lam.pet.mean,Nota
531,Sapindales,Anacardiaceae,Spondias,tuberosa,6.87,112.11,20.06,6,17,1.7,5,NA,NA,compound,NA,Spondias_tuberosa,NA,11.5,NA,
532,Sapindales,Burseraceae,Bursera,cerasifolia,5.22,75.81,13.52,4,6,NA,NA,NA,NA,simple,NA,Bursera_cerasifolia,NA,5,NA,
533,Sapindales,Burseraceae,Bursera,fagaroides,2.9,77.76,12.73,NA,NA,0.5,2,0.8,3,compound,NA,Bursera_fagaroides,NA,NA,3.15,
534,Sapindales,Burseraceae,Bursera,filicifolia,5.22,83.98,17.52,2,4,NA,NA,NA,NA,compound,NA,Bursera_filicifolia,NA,3,NA,
535,Sapindales,Burseraceae,Bursera,microphylla,4.6,82.72,11.44,0.9,2.5,0.2,0.6,0.2,0.4,compound,NA,Bursera_microphylla,NA,1.7,0.7,
536,Sapindales,Burseraceae,Commiphora,leptophloeos ,6.13,105.91,19.93,2.9,8.2,1.4,7.5,3.3,6,compound,NA,Commiphora_leptophloeos ,NA,5.55,9.1,
537,Sapindales,Rutaceae,Boronia,pinnata,1.64,21.88,11.84,1.7,7.5,0.6,1.4,0.5,2.5,compound,NA,Boronia_pinnata,NA,4.6,2.5,
538,Sapindales,Rutaceae,Brombya,platynema,8.49,60.66,19.87,NA,NA,1.27,2.54,8,21,simple,16.4,Brombya_platynema,16.4,NA,16.405,
539,Sapindales,Rutaceae,Zanthoxylum,caribaeum,14.11,109.15,24.55,15,27,NA,NA,NA,NA,compound,NA,Zanthoxylum_caribaeum,NA,21,NA,
540,Sapindales,Rutaceae,Zanthoxylum,rhoifolium,4.32,47.06,22.98,7.5,46,NA,NA,NA,NA,compound,NA,Zanthoxylum_rhoifolium,NA,26.75,NA,
541,Sapindales,Sapindaceae,Acer,campestre,10,41.89,11.75,NA,NA,1.625,4.877,3.397,7.281,simple,NA,Acer_campestre,NA,NA,8.59,
542,Sapindales,Sapindaceae,Acer,pensylvanicum,2.62,35.54,12.62,NA,NA,2.67,5.91,6.76,14,simple,NA,Acer_pensylvanicum,NA,NA,14.67,
543,Sapindales,Sapindaceae,Acer,pseudoplatanus,5.03,56.68,19.21,NA,NA,3.369,7.478,6.76,9.473,simple,NA,Acer_pseudoplatanus,NA,NA,13.54,
544,Sapindales,Sapindaceae,Acer,rubrum,20.38,53.35,12.11,NA,NA,6.84,10.75,1.9,6.3,simple,NA,Acer_rubrum,NA,NA,12.895,
545,Sapindales,Sapindaceae,Cardiospermum,grandiflorum,17.07,121.69,29.27,NA,NA,1.7,7.1,5.53,11.6,compound,NA,Cardiospermum_grandiflorum,NA,NA,12.965,
546,Sapindales,Sapindaceae,Cardiospermum,halicababum,12.48,51.56,16.93,NA,NA,0.4,6,5,10,compound,NA,Cardiospermum_halicababum,NA,NA,10.7,
547,Sapindales,Sapindaceae,Distichostemon,hispidulus,0.2,23.33,15.26,NA,NA,0.2,1.4,1.5,9,simple,NA,Distichostemon_hispidulus,NA,NA,6.05,
548,Sapindales,Sapindaceae,Paullinia,sessiliflora,13.61,82.53,23.9,NA,NA,3.04,8.9,9.05,16.6,compound,NA,Paullinia_sessiliflora,NA,NA,18.795,
549,Sapindales,Sapindaceae,Thouinidium,decandrum,16.05,84.62,22.42,NA,NA,2.3,3.7,10.1,22.5,compound,NA,Thouinidium_decandrum,NA,NA,19.3,
550,Sapindales,Simaroubaceae,Castela,peninsularis,1.72,42.81,9.43,NA,NA,0.1,0.4,1.27,1.54,simple,NA,Castela_peninsularis,NA,NA,1.655,
551,Saxifragales,Altingiaceae,Liquidambar,styraciflua,23.83,56.86,20.94,NA,NA,0.6,1,7,19,simple,NA,Liquidambar_styraciflua,NA,NA,13.8,
552,Saxifragales,Aphanopetalaceae,Aphanopetalum,resinosum,1.77,32.17,12.24,4,8,0.2,0.5,NA,NA,simple,NA,Aphanopetalum_resinosum,NA,6,NA,
553,Saxifragales,Grossulariaceae,Ribes,cucullatum,0.84,24.6,9.56,2,3.7,0.4,1.4,1,1.8,simple,NA,Ribes_cucullatum,NA,2.85,2.3,
554,Saxifragales,Grossulariaceae,Ribes,magellanicum,1.5,28.13,12.03,2,6,0.7,1.1,1.4,2.1,simple,NA,Ribes_magellanicum,NA,4,2.65,
555,Saxifragales,Haloragaceae,Gonocarpus,teucrioides,0.79,14.66,7.97,0.5,1.5,0.1,0.2,0.7,1.5,simple,NA,Gonocarpus_teucrioides,NA,1,1.25,
556,Saxifragales,Hamamelidaceae,Hamamelis,virginiana,6.72,31.79,11.39,9.7,31.7,6,15,3.7,16.7,simple,NA,Hamamelis_virginiana,NA,20.7,20.7,
557,Saxifragales,Hamamelidaceae,Noahdendron,nicholasii,13.06,47.59,24.36,NA,NA,0.8,1.5,12,28,simple,21.15,Noahdendron_nicholasii,21.15,NA,21.15,
558,Saxifragales,Tetracarpaeaceae,Tetracarpaea,tasmannica,0.48,14.1,6.88,0.9,3.2,0,0.2,NA,NA,simple,NA,Tetracarpaea_tasmannica,NA,2.05,NA,
559,Solanales,Convolvulaceae,Convolvulus,nodiflorus,1,38.47,19.43,3,9,NA,NA,NA,NA,simple,NA,Convolvulus_nodiflorus,NA,6,NA,
560,Solanales,Convolvulaceae,Decalobanthus,peltatus,55,303.71,37.2,10.5,49,3,24,7.5,25,simple,29.75,Decalobanthus_peltatus,29.75,29.75,29.75,
561,Solanales,Convolvulaceae,Ipomoea,bracteata,10.1,156.47,27.92,NA,NA,0,4,1.5,9.5,simple,NA,Ipomoea_bracteata,NA,NA,7.5,
562,Solanales,Convolvulaceae,Ipomoea,indica,7.25,163.88,35.81,4.5,23,1.5,6,3,17,simple,13.75,Ipomoea_indica,13.75,13.75,13.75,
563,Solanales,Convolvulaceae,Ipomoea,pes_caprae,11.64,142.21,15.43,5,27,2,17,3,10,simple,16,Ipomoea_pes_caprae,16,16,16,
564,Solanales,Convolvulaceae,Ipomoea,wolcottiana,14.2,144.2,48.52,3.2,11.5,1.7,7.16,NA,NA,simple,NA,Ipomoea_wolcottiana,NA,7.35,NA,
565,Solanales,Solanaceae,Athenaea,pogogena,1.58,35.29,13.12,NA,NA,1.61,4.23,NA,NA,simple,11.86,Athenaea_pogogena,11.86,NA,NA,
566,Solanales,Solanaceae,Solanum,hindsianum,1.89,28.27,12.4,2,9,0,2.5,2,6.5,simple,5.5,Solanum_hindsianum,5.5,5.5,5.5,
567,Vitales,Vitaceae,Cissus,gossypiifolia,38.7,234,54.45,6.5,23,1.5,9.5,5,13.5,simple,14.75,Cissus_gossypiifolia,14.75,14.75,14.75,
568,Vitales,Vitaceae,Cissus,hypoglauca,18.77,154.56,32.26,NA,NA,1.6,4,3.5,14,compound,NA,Cissus_hypoglauca,NA,NA,11.55,
569,Vitales,Vitaceae,Cissus,verticillata,23.87,253.03,45.27,3.5,21.5,1,6.5,2.5,15,simple,12.5,Cissus_verticillata,12.5,12.5,12.5,
570,Vitales,Vitaceae,Leea,indica,1.68,48.04,32.15,14,30,2.91,14.1,NA,NA,compound,NA,Leea_indica,NA,22,NA,
571,Zingiberales,Costaceae,Costus,scaber,1.13,75.92,43.09,10,32,NA,NA,10,32,simple,21,Costus_scaber,21,21,NA,
572,Zingiberales,Strelitziaceae,Strelitzia,nicolai,5.06,112.73,62.91,NA,304.8,NA,182.88,91.44,121.92,simple,289.56,Strelitzia_nicolai,289.56,NA,NA,Probable outlier en la base
573,Zygophyllales,Zygophyllaceae,Guaiacum,coulteri,7.4,49.99,16.39,2.1,6.7,0.1,0.5,2,6.2,compound,4.4,Guaiacum_coulteri,4.4,4.4,4.4,
574,Zygophyllales,Zygophyllaceae,Guaiacum,unijugum,2.09,50.62,17.05,0.6,1.5,0.3,0.5,0.3,1,compound,1.05,Guaiacum_unijugum,1.05,1.05,1.05,
575,Zygophyllales,Zygophyllaceae,Larrea,tridentata,3.38,39.63,17.67,0.1,1.05,0,0.2,0.1,0.85,compound,0.57,Larrea_tridentata,0.57,0.575,0.575,
576,Zygophyllales,Zygophyllaceae,Tribulus,terrestris,1.5,48.14,20.75,1.5,5,NA,NA,1.5,5,compound,3.25,Tribulus_terrestris,3.25,3.25,NA,
