,order,family,genus,species.epithet,stem.length.m,VD.base.um,VD.tip.um,min.length.leaf,max.length.leaf,min.length.petiole,max.length.petiole,min.length.blade,max.length.blade,leaf.type,length.leaf.cm,species,long.hoja,long.hoja.mean,long.lam.pet.mean,Nota
421,Myrtales,Onagraceae,Fuchsia,magellanica,1.39,32.57,16.1,1.5,7,0.3,2,1.2,5,simple,4.7175,Fuchsia_magellanica,4.7175,4.25,4.25,
422,Myrtales,Vochysiaceae,Callisthene,minor,4.25,31.39,11.62,NA,NA,NA,0.1,0.9,1.5,simple,1.3,Callisthene_minor,1.3,NA,NA,Subsésil
423,Myrtales,Vochysiaceae,Vochysia,guatemalensis,19.33,173.45,33.16,NA,NA,1.3,3,6,17,simple,NA,Vochysia_guatemalensis,NA,NA,13.65,
424,Oxalidales,Brunelliaceae,Brunellia,mexicana,15.87,106.85,13.32,NA,NA,6,15,15,45,compound,NA,Brunellia_mexicana,NA,NA,40.5,
425,Oxalidales,Connaraceae,Rourea,glabra,23.16,127.76,21.23,NA,NA,0.5,7,2,15,compound,NA,Rourea_glabra,NA,NA,12.25,
426,Oxalidales,Cunoniaceae,Bauera,rubioides,0.64,23.5,8.43,NA,NA,NA,NA,0.56,1.56,compound,1.06,Bauera_rubioides,1.06,NA,NA,Sésil
427,Oxalidales,Cunoniaceae,Ceratopetalum,apetalum,19.05,55.41,20.66,NA,NA,1,2,6,12,compound,NA,Ceratopetalum_apetalum,NA,NA,10.5,
428,Oxalidales,Cunoniaceae,Ceratopetalum,gummiferum,12,55.33,10.35,NA,NA,1.23,3.85,3.28,7.95,compound,NA,Ceratopetalum_gummiferum,NA,NA,8.155,
429,Oxalidales,Cunoniaceae,Codia,spatulata,1.45,65.6,18.91,NA,NA,1,2,3,10.5,simple,NA,Codia_spatulata,NA,NA,8.25,
430,Oxalidales,Cunoniaceae,Eucryphia,moorei,12.05,37.85,12.76,NA,NA,1,3,5,15,compound,NA,Eucryphia_moorei,NA,NA,12,
431,Oxalidales,Cunoniaceae,Geissois,pruinosa,6.24,65.79,15.67,NA,NA,3.9,11.3,7.47,22.6,compound,NA,Geissois_pruinosa,NA,NA,22.635,
432,Oxalidales,Cunoniaceae,Pancheria,hirsuta,3.89,40.15,12.64,NA,NA,0.47,2.44,5.32,8.14,compound,NA,Pancheria_hirsuta,NA,NA,8.185,
433,Oxalidales,Elaeocarpaceae,Dubouzetia,campanulata,4.93,48.28,10.66,NA,NA,0.5,1.5,5,12,simple,NA,Dubouzetia_campanulata,NA,NA,9.5,
434,Oxalidales,Elaeocarpaceae,Elaeocarpus,angustifolius,25.4,151.76,26.21,NA,NA,1,1.5,9,14,simple,NA,Elaeocarpus_angustifolius,NA,NA,12.75,
435,Oxalidales,Elaeocarpaceae,Elaeocarpus,reticulatus,9.75,53.25,18.11,NA,NA,0.5,2,5,13,compound,NA,Elaeocarpus_reticulatus,NA,NA,10.25,
436,Oxalidales,Elaeocarpaceae,Tetratheca,rubioides,0.22,11.15,8.17,0.3,1.5,NA,NA,NA,NA,simple,NA,Tetratheca_rubioides,NA,0.9,NA,
437,Pandanales,Pandanaceae,Pandanus,tectorius,8.9,93.07,12.09,NA,180,NA,NA,NA,NA,simple,180,Pandanus_tectorius,180,NA,NA,Posible outlier
438,Paracryphiales,Paracryphiaceae,Paracryphia,alticola,4.19,42.96,12.54,NA,NA,2.5,4,5,13,simple,NA,Paracryphia_alticola,NA,NA,12.25,
439,Paracryphiales,Paracryphiaceae,Quintinia,major,3.85,55.54,15.83,NA,NA,2.2,3.74,11,15.5,simple,NA,Quintinia_major,NA,NA,16.22,
440,Paracryphiales,Paracryphiaceae,Quintinia,oreophila,2,30.46,12.86,NA,NA,0.33,0.8,1.87,3.8,simple,NA,Quintinia_oreophila,NA,NA,3.4,
441,Paracryphiales,Paracryphiaceae,Quintinia,sieberi,13,75.61,14.86,NA,NA,1.15,2.18,6.85,11.59,simple,NA,Quintinia_sieberi,NA,NA,10.885,
442,Paracryphiales,Paracryphiaceae,Quintinia,verdonii,11.57,61.65,21.25,NA,NA,1,2.5,5,15,simple,NA,Quintinia_verdonii,NA,NA,11.75,
443,Picramniales,Picramniaceae,Alvaradoa,amorphoides,6.23,62.46,23.3,NA,NA,1.7,3,12.5,21,compound,NA,Alvaradoa_amorphoides,NA,NA,19.1,
444,Picramniales,Picramniaceae,Picramnia,antidesma,5.8,35.57,20.89,NA,NA,1,5,6.5,18,compound,NA,Picramnia_antidesma,NA,NA,15.25,
445,Piperales,Aristolochiaceae,Aristolochia,emiliae,0.15,20.26,12.83,NA,NA,0.4,0.9,5,8.5,simple,NA,Aristolochia_emiliae,NA,NA,7.4,
446,Piperales,Aristolochiaceae,Aristolochia,taliscana,4.44,78.05,25.94,2.5,7,NA,NA,NA,NA,simple,NA,Aristolochia_taliscana,NA,4.75,NA,
447,Piperales,Piperaceae,Piper,amalago,7.5,66.73,20.65,NA,NA,0.6,1.5,7.5,12,simple,NA,Piper_amalago,NA,NA,10.8,
448,Piperales,Piperaceae,Piper,novae_hollandiae,21.65,193.6,19.4,NA,NA,0.6,3,4,12,simple,NA,Piper_novae_hollandiae,NA,NA,9.8,
