"","order","family","genus","species","stem.length.m","VD.base.um","VD.tip.um","min.length.leaf","max.length.leaf","min.length.petiole","max.length.petiole","min.length.blade","max.length.blade","leaf.type","long.hoja","long.hoja.mean","long.lam.pet.mean","long.hoja.concenso"
"37","Asterales","Asteraceae","Ericameria","Ericameria_arborescens",0.77,28.28,10.05,2.5,9,NA,NA,2.5,9,"simple",NA,5.75,NA,5.75
"38","Asterales","Asteraceae","Ericameria","Ericameria_martirensis",0.32,25.13,9.09,0.6,1,NA,NA,NA,NA,"simple",NA,0.8,NA,0.8
"39","Asterales","Asteraceae","Ericameria","Ericameria_pinifolia",0.38,30.92,9.72,NA,NA,NA,NA,1.2,3.5,"simple",2.35,NA,NA,2.35
"40","Asterales","Asteraceae","Gochnatia","Gochnatia_polymorpha",8.8,62.6,10.43,8,12,NA,NA,NA,NA,"simple",NA,10,NA,10
"41","Asterales","Asteraceae","Gynoxys","Gynoxys_cuicochensis",1.17,18.92,13.08,NA,10,NA,NA,NA,NA,"simple",10,NA,NA,10
"42","Asterales","Asteraceae","Hazardia","Hazardia_squarrosa",0.64,19.76,11.34,NA,NA,NA,NA,1.3,3.5,"simple",2.4,NA,NA,2.4
"43","Asterales","Asteraceae","Hieracium","Hieracium_hieronymi",0.65,31.67,14.13,4.7,12.25,NA,NA,NA,NA,"simple",NA,8.475,NA,8.475
"44","Asterales","Asteraceae","Malacothrix","Malacothrix_saxatilis",1.13,24.8,16.18,2,12,NA,NA,NA,NA,"simple",NA,7,NA,7
"45","Asterales","Asteraceae","Ozothamnus","Ozothamnus_hookeri",0.47,15.98,4.08,0.1,0.3,NA,NA,NA,NA,"simple",NA,0.2,NA,0.2
"46","Asterales","Asteraceae","Ozothamnus","Ozothamnus_ledifolius",0.27,18.84,3.63,0.6,1.4,NA,NA,NA,NA,"simple",NA,1,NA,1
"47","Asterales","Asteraceae","Ozothamnus","Ozothamnus_rodwayi",0.61,27.19,13.95,0.4,1,0,0.15,NA,NA,"simple",NA,0.7,NA,0.7
"48","Asterales","Asteraceae","Piptocarpha","Piptocarpha_rotundifolia",4.27,87.08,13.64,3.5,6,1,1.5,NA,NA,"simple",NA,4.75,NA,4.75
"49","Asterales","Asteraceae","Senecio","Senecio_sericeo_nitens",0.86,31.22,10.62,NA,3,NA,NA,NA,NA,"simple",3,NA,NA,3
"50","Asterales","Asteraceae","Solidago","Solidago_rugosa",1.22,14.52,9.83,NA,NA,NA,NA,4,10.4,"simple",7.2,NA,NA,7.2
"51","Asterales","Asteraceae","Verbesina","Verbesina_lottiana",5.12,36.92,14.11,NA,17.4,NA,NA,NA,NA,"simple",17.4,NA,NA,17.4
"52","Asterales","Asteraceae","Vernonanthura","Vernonanthura_phosphorica",3.13,49.63,14.35,NA,12,0.5,0.7,NA,NA,"simple",12,NA,NA,12
"53","Asterales","Goodeniaceae","Scaevola","Scaevola_beckii",3.15,90.96,16.6,12.4,13.6,NA,NA,NA,NA,"simple",NA,13,NA,13
"54","Asterales","Phellinaceae","Phelline","Phelline_comosa",2.8,47.23,19.78,23.2,36.1,NA,NA,NA,NA,"simple",NA,29.65,NA,29.65
"55","Asterales","Rousseaceae","Abrophyllum","Abrophyllum_ornans",3.1,63.23,32.1,10,20,2,4,0,0,"simple",15,15,3,3
"56","Asterales","Rousseaceae","Carpodetus","Carpodetus_serratus",6.88,54.69,16.82,4,6,NA,1,NA,NA,"simple",NA,5,NA,5
