order,family,genus,sp,locality,authority,collector,coll,Wood Density g/ml
Myrtales,Myrtaceae,Angophora,costata,,(Gaertn.) Hochr. Ex Britten,Olson,2574,0.58
Myrtales,Myrtaceae,Angophora,costata,,(Gaertn.) Hochr. Ex Britten,Rosell,1,0.8
Myrtales,Myrtaceae,Angophora,costata,,(Gaertn.) Hochr. Ex Britten,Rosell,2,0.69
Myrtales,Myrtaceae,Angophora,costata,,(Gaertn.) Hochr. Ex Britten,Rosell,3,0.78
Boraginales,Boraginaceae,Bourreria,sonorae,,S. Watson,Olson,2963,0.79
Boraginales,Boraginaceae,Bourreria,sonorae,,S. Watson,Olson,2969,0.76
Dipsacales,Adoxaceae,Sambucus,nigra,LT,L.,Olson,4036,0.41
Dipsacales,Adoxaceae,Sambucus,nigra,LT,L.,Olson,4037,0.33
Dipsacales,Adoxaceae,Sambucus,nigra,LT,L.,Olson,4038,0.45
Santalales,Santalaceae,Myoschilos,oblongum,,Ruiz et Pav.,Fajardo,P.Mo 1,0.52
Santalales,Santalaceae,Myoschilos,oblongum,,Ruiz et Pav.,Fajardo,P.Mo 2,0.55
Santalales,Santalaceae,Myoschilos,oblongum,,Ruiz et Pav.,Fajardo,P.Mo 3,0.56
Rosales,Rhamnaceae,Ziziphus,joazeiro,,Mart.,Olson,4818,0.74
Rosales,Rhamnaceae,Ziziphus,joazeiro,,Mart.,Olson,4819,0.74
Rosales,Rhamnaceae,Ziziphus,joazeiro,,Mart.,Olson,4820,0.69
Sapindales,Meliaceae,Dysoxylum,papuanum,,(Merr. & L. M. Perry) Mabb. ,Rosell,1,0.62
Sapindales,Meliaceae,Dysoxylum,papuanum,,(Merr. & L. M. Perry) Mabb. ,Rosell,2,0.66
Sapindales,Meliaceae,Dysoxylum,papuanum,,(Merr. & L. M. Perry) Mabb. ,Rosell,3,0.63
Fabales,Fabaceae,Stryphnodendron,adstringens,,(Mart.) Coville,Olson,4625,0.33
Fabales,Fabaceae,Stryphnodendron,adstringens,,(Mart.) Coville,Olson,4626,0.4
Fabales,Fabaceae,Stryphnodendron,adstringens,,(Mart.) Coville,Olson,4627,0.32
Sapindales,Burseraceae,Bursera,fagaroides,,(Kunth.) Engl. ,Olson,3001,0.31
Sapindales,Burseraceae,Bursera,fagaroides,,(Kunth.) Engl. ,Olson,3012,0.31
Sapindales,Burseraceae,Bursera,fagaroides,,(Kunth.) Engl. ,Olson,3014,0.29
Ericales,Ericaceae,Arctostaphylos,glauca,,Lindl.,Olson,2667,0.61
Ericales,Ericaceae,Arctostaphylos,glauca,,Lindl.,Olson,2668,0.57
Ericales,Ericaceae,Arctostaphylos,glauca,,Lindl.,Olson,2669,0.57
Malpighiales,Salicaceae,Salix,lasiolepis,,Benth.,M?ndez-Alonzo,25,0.42
Malpighiales,Salicaceae,Salix,lasiolepis,,Benth.,M?ndez-Alonzo,26,0.45
Malpighiales,Salicaceae,Salix,lasiolepis,,Benth.,M?ndez-Alonzo,27,0.32
Rosales,Rosaceae,Sorbus,aucuparia,,L. ,Camarero,Sau1,0.33
Rosales,Rosaceae,Sorbus,aucuparia,,L. ,Camarero,Sau2,0.5
Rosales,Rosaceae,Sorbus,aucuparia,,L. ,Camarero,Sau3,0.54
Rosales,Rhamnaceae,Alphitonia,excelsa,,(Fenzl)Reissek ex Benth.,Olson,1874,0.47
Rosales,Rhamnaceae,Alphitonia,excelsa,,(Fenzl)Reissek ex Benth.,Olson,1875,0.5
Rosales,Rhamnaceae,Alphitonia,excelsa,,(Fenzl)Reissek ex Benth.,Olson,1888,0.5
Malpighiales,Picrodendraceae,Petalostigma,pubescens,,Domin,Rosell,1,0.76
Malpighiales,Picrodendraceae,Petalostigma,pubescens,,Domin,Rosell,4,0.73
Malpighiales,Picrodendraceae,Petalostigma,pubescens,,Domin,Rosell,5,0.71
Dipsacales,Caprifoliaceae,Lonicera,subspicata,,,Olson,4360,0.57
Dipsacales,Caprifoliaceae,Lonicera,subspicata,,,Olson,4361,0.57
