order,family,genus,sp,locality,authority,collector,coll,Wood Density g/ml
Fabales,Fabaceae,Ebenopsis,confinis,,(Standl.) Barneby & J.W.Grimes,Olson,3071,0.68
Asterales,Asteraceae,Piptocarpha,sp,,,Olson,4616,0.68
Asterales,Asteraceae,Piptocarpha,sp,,,Olson,4617,0.65
Asterales,Asteraceae,Piptocarpha,sp,,,Olson,4618,0.71
Myrtales,Myrtaceae,Eucalyptus,crebra,,F.Muell.,Rosell,1,0.75
Myrtales,Myrtaceae,Eucalyptus,crebra,,F.Muell.,Rosell,4,0.76
Myrtales,Myrtaceae,Eucalyptus,crebra,,F.Muell.,Rosell,5,0.67
Lamiales,Lamiaceae,Salvia,apiana,,Jeps.,Olson,2602,0.41
Lamiales,Lamiaceae,Salvia,apiana,,Jeps.,Olson,2603,0.41
Lamiales,Lamiaceae,Salvia,apiana,,Jeps.,Olson,2604,0.46
